Game ID,Black Player,White Player,Result,Winner,Final Board
39242,武宫正树,山田拓自,W+2.5,W,". . . . . . . . . . . . . . . . . . .
. . . . . . . . . . . . . . . . . . .
. . . . . . . . . . . . . . . . . . .
. . . 2 . . . . . . . . . . . 1 . . .
. . . . . . . . . 2 2 2 . . 2 . . . .
. . . 1 . 1 . . 1 2 1 2 1 . 2 1 1 . .
. . . . . . . 1 1 1 1 1 2 . 1 2 1 . .
. . 1 2 . . 2 . 2 . . 1 . 2 2 2 1 . .
. . . 1 2 . . . 2 2 2 1 1 1 . 2 1 . .
. . . 1 . 2 1 1 2 . 2 1 1 2 . 2 1 . .
. . 1 . 2 1 2 . 1 2 . 2 1 2 . 2 . . .
. 1 . . 2 . 2 . 1 2 . 2 1 . . . 1 . .
. . 2 2 . . . 1 1 1 2 . 1 . 2 2 1 . .
. . . . 2 . . . . 2 2 . . 1 2 . . . .
. 1 1 1 2 1 . 1 1 1 2 1 2 1 1 2 2 . .
. 1 . 1 1 . 1 1 2 2 2 . 1 2 1 1 2 2 .
. 2 1 2 2 1 . 1 . . . 2 . 2 . . 1 1 .
. 2 . 2 . 2 1 2 . . . . . . 2 1 . . .
. . . . . . 2 . . . . . . . . . . . ."
39689,武宫正树,邹海石,B+7.5,B,". . . . . . . . . . . . . . . 2 . . .
2 2 2 2 1 . 2 . 1 . 1 . . 1 1 2 . 2 .
. 2 1 2 . 2 . 2 1 1 2 . 1 1 2 2 2 . .
2 1 1 . 2 . 1 . 1 2 . 2 . . 1 1 . . .
2 . . 1 2 . . . 1 2 2 . . 2 . . 1 1 .
2 1 . 1 2 . . 1 2 . 2 . . . . . 2 . .
1 . . 1 2 . 1 . 2 . . . . . 2 . 2 . .
. . . . 2 . 1 1 2 2 . . . . 2 1 1 1 .
. . . 1 . . 1 2 1 1 2 2 2 2 1 2 . . .
. . 1 . . 1 . 2 . 1 1 1 . 1 1 . 2 . .
. . . 2 . 2 1 1 . . . . . . 1 1 1 . .
. 1 . . . 2 2 . . . . . . . . 2 1 . .
. . 2 2 . 1 1 1 1 . . . . . . 2 1 1 .
. . 2 1 1 . . 2 . . . . . . . 2 2 1 .
. . . . . . . 2 1 1 . . . . . . 1 2 .
. . 2 1 1 1 2 . 2 . 1 . . 1 1 1 . 2 .
. . 2 2 2 1 . 2 2 . . 1 1 . . 2 2 . .
. . . . . . . . . . 2 2 2 2 . . . . .
. . . . . . . . . . . . . . . . . . ."
39738,武宫正树,依田纪基,W+R,W,". . . . . . . . . 2 1 . . 2 2 1 . . .
. . . . . . . 1 2 2 1 2 . 2 1 . 1 . .
. . 1 2 2 1 1 2 2 . 1 2 2 2 1 . . . .
. . . 2 . 1 . 1 2 2 2 1 1 1 . 1 . . .
. 2 2 . . . 1 . 1 2 . 2 1 . . . . . .
. . 1 2 . . . . 1 2 . . . . . 1 . . .
. . 1 . . . . . 1 1 2 2 . 1 . . . . .
. . . . 1 . . . . . 1 1 . . . . . . .
. 1 1 . . 1 1 1 2 1 . . . 2 . . 1 1 .
. 2 2 2 1 . 1 2 2 1 . 1 2 2 1 1 2 . .
. . . . . 1 2 2 . 2 2 1 2 1 1 . 2 2 1
. . . 2 . 1 . . . 2 1 2 2 2 . 2 . 2 .
. . . . . . . 2 . . 1 1 2 1 . 2 1 1 .
. . . 2 . 1 . . . 2 2 1 . . . 2 . . .
. . . . . 1 2 . 2 . 1 . . 2 . . . . .
. 2 1 2 . 1 . . . 1 . . 2 1 1 1 2 . .
. . 2 1 1 . . 1 . . . 1 1 2 1 . 2 . .
. . 2 . . . 1 . 2 . . . . 2 1 2 . . .
. . . . . 2 2 2 . . . . . . 1 . . . ."
40382,武宫正树,工藤纪夫,B+R,B,". . . . . . . . . . . . . . . . . . .
. . . . . . . . . . 2 . . . . 1 . . .
. . . . . 2 2 . . 2 . 2 . 2 . . . . .
. . . 2 2 1 . 2 . . 1 2 1 . . 1 . . .
. 2 2 1 1 1 . 2 1 1 2 1 1 . 2 1 . . .
. 2 1 . . . . 1 2 2 2 1 . . . 1 . . .
. 1 1 . 1 1 . 1 2 2 1 . . . . 1 . . .
. 1 2 2 . . . 2 1 2 . . . . . 2 1 . .
. 1 1 2 . . 2 . 1 2 . . . . . 2 1 . .
1 . 1 2 . . . . 1 . . . . . . 2 1 . .
. 1 2 . . . . 2 1 . . . . . . 2 . . .
. 2 . . . . . 2 1 . . . . . . . 2 . .
. . . 2 2 2 2 1 . . . . . . . . . . .
. 2 2 . 1 1 1 1 . . . . . 1 1 . . . .
. 1 1 1 . . . . . . . 1 . . 2 2 2 . .
. . 1 2 2 . 2 . . . 2 2 1 1 2 . 2 2 .
. . 1 1 2 2 2 2 . 2 . . 2 1 1 2 1 1 1
. . 1 2 1 2 1 1 1 2 . . 2 1 . 1 2 2 .
. . . 2 1 1 1 1 . . . . . . 1 . . . ."
40506,武宫正树,山田规喜,W+0.5,W,". . . 1 . . . . . 1 1 2 2 2 . . . . .
. . 2 1 2 2 2 1 1 . 2 1 1 2 2 1 . . .
. . 2 1 1 1 1 1 1 1 2 2 1 2 . . 1 2 .
. . . 2 2 2 2 1 2 1 1 2 1 2 . 1 . 2 .
. . 2 . 1 2 . 2 2 1 2 2 1 2 . 2 2 . .
. . 1 1 . 2 . 1 2 2 . 2 1 2 . 1 1 1 .
. . . . 1 . . 1 2 . 2 1 1 2 . . . . .
. . . . . . . . . 2 2 2 1 2 . 2 2 . .
. 1 . 1 . 1 1 1 1 1 2 1 1 1 2 . . . .
. . 1 2 . 2 2 2 2 2 1 . . . 1 1 . . .
. . 1 2 . . . . . . 1 . . . . . . . .
. 2 2 . . . . . 1 . . . . . . . . . .
. . . . . 1 . 1 . . . . . . . . 1 . .
. . 2 . . . . . . . . . . . . . 1 2 .
. . . . . 2 . . . . . . . . . . 1 2 .
. 2 2 2 . 2 2 1 . 1 . . . . . 1 2 . .
. 1 1 . . 1 2 . 1 . . . . 1 . 1 2 . .
. . . . 1 . . 2 . 2 . . . . 1 2 2 . .
. 1 . . . . . . . . . . . . . . . . ."
40578,武宫正树,郑铭煌,B+2.5,B,". . . . . . . . . . . 1 . . . 2 2 1 .
. . 2 . 2 1 . . 1 . 1 . 1 2 . 2 . 2 .
. . . 2 . 1 . 2 1 1 2 1 1 2 2 1 2 1 .
. . 2 . . . . . 1 2 2 2 2 2 1 1 1 . .
. . 2 1 . . . . 1 2 . . . 2 . 1 2 . .
. . 1 . 1 . . . 1 1 2 . . 2 . 1 . . .
. . 1 1 . . . . . 2 . 2 . 1 2 . . . .
. . . . . . . . . . 1 2 1 . 1 . . 1 1
. . . . . . . . . . 1 2 . 1 . 1 1 2 2
. . . . . . . . . . . . 2 . . 1 2 . .
. . 2 . . . 2 . . . . 1 . . 1 2 2 2 1
. 2 . 2 . 2 1 1 . . . . . . 1 . 2 1 .
. 1 2 1 1 2 . . . . . . . . . 1 2 . 1
. 2 . 2 2 1 1 . . . . . . . . . . 2 2
. . 2 . . 2 1 . 2 . 1 1 1 . . 1 1 1 .
. . . 2 . 2 1 . 2 1 1 2 . 2 2 1 2 . .
. . . . 2 1 . 1 1 2 2 . 2 1 2 2 1 . .
. . . . . 2 . . . . . . . . . . 1 . .
. . . . . . . . . . . . . . . . . . ."
40730,林子渊,武宫正树,B+4.5,B,". . . . . . . . . . . . . . . . . . .
. . . . . 1 1 2 . 1 2 . . 1 . . . . .
. . 1 . . 2 1 2 . . . 1 1 2 1 1 . . .
. 1 . 2 . 1 1 2 . 2 2 2 1 2 . . 1 1 .
. . . . 2 1 2 2 . 1 1 2 2 2 2 2 2 1 .
. . 1 1 1 2 1 . 2 2 1 1 1 1 1 1 2 2 .
. . . 1 2 2 . . . . 2 . . 2 1 . 1 2 .
. . . . 1 2 . . . . . 2 1 2 . 1 1 2 .
. . . . 1 2 . . . . . 1 2 2 1 1 2 1 .
. . . . . 2 . . . . 1 2 1 . 1 2 2 . .
. . . 1 1 2 . . . . . 2 2 . . 1 1 1 .
. . . 1 2 . . . . . . 2 . 1 . 2 1 2 .
. . 1 2 2 . . . . . . . . . 1 . . 1 .
. . 1 2 . . . . . . 2 . . 1 2 1 . . .
. . 1 1 2 . . . . . . . 2 2 2 2 1 . .
. . 1 2 2 2 . . . . . . . . . 1 1 1 .
. . 1 1 2 1 . 2 . . . . . 2 . 1 2 1 .
. . 1 2 . 2 . . . . . . . . 2 1 2 2 2
. . 1 . 2 . . . . . . . . . . 2 . . ."
40892,武宫正树,李沂修,B+1.5,B,". . . . . . . 2 . . . . . . . . . . .
. . 1 2 2 . 2 . 2 1 . . . 2 . 2 2 2 .
. 1 1 1 2 . 2 2 1 1 . 1 1 2 . 1 2 1 .
1 2 2 2 2 2 . 1 . . 1 2 2 2 . 1 1 . .
1 1 2 . 1 . 1 1 2 . . . . . . . . . .
. 2 1 1 2 2 2 2 1 1 1 . . . . . 1 . .
. 2 2 1 2 2 1 1 2 . . 1 2 2 . 1 . 2 .
. 1 1 . 1 2 . . . . . . 1 1 . 1 2 . .
. . 1 1 1 . 1 . . . . . 1 . 1 2 2 . .
. 1 . . . . . . . . . . 1 2 1 1 2 2 .
. 2 2 1 1 . . . . . . . 1 2 2 2 2 1 .
. 1 1 2 1 . . 1 1 . 1 1 2 2 . 2 1 . 1
. 2 2 2 . . 2 2 . . . 2 1 . 2 . 1 1 .
. . . 2 . . . . 2 2 . . . 1 . . . . .
. . . . . . . . . 1 1 . . . . . 1 . .
. . . 2 . 2 . . 1 . . . 1 . . 1 . . .
. . . . 2 1 . 2 2 . 2 2 1 . . . . . .
. . . . . . . . . . . 2 2 1 . . . . .
. . . . . . . . . . . . . . . . . . ."
40992,武宫正树,苏耀国,B+R,B,". . . . . . . . . . . . . . . . . . .
. . . . . . . 1 1 1 . . . 1 . 2 . . .
. . . . 2 2 . 1 2 . 2 . 2 1 . 1 1 1 .
. . 2 2 1 2 . . . 2 . . 2 1 . 1 2 2 .
. 2 . 1 1 1 2 1 1 . 2 1 1 1 . 1 1 2 .
. 2 1 . 2 1 1 . . 1 2 2 1 2 1 2 2 . .
. 2 2 . 2 . . 1 1 1 1 2 1 2 . . . 2 .
. 1 . . . 2 1 2 2 1 1 2 2 1 1 . 2 . .
. . 1 . 1 . . . 2 2 1 2 . 2 1 2 . 2 .
. . . . . . . . 1 1 2 2 . 2 1 1 1 2 .
. . 2 . 1 . . . . 2 . . 2 1 . . . 1 2
. . 1 . . . . . . 2 2 2 2 . . . 1 2 .
. 1 . . 1 1 . . 2 1 1 1 . . . . . . .
. 2 . 2 2 . . . 1 . . . . . . . 2 . .
. . . . . 1 1 . . . . . 1 . . . 1 1 .
. . . 2 2 2 1 1 . . . . . . 1 1 1 2 .
. . . . 2 1 2 2 1 . 1 . 1 2 . 2 2 2 .
. . . . . . . . 2 1 . . . 2 . . . . .
. . . . . . . 2 . . . . . . . . . . ."
41170,武宫正树,杉内雅男,B+R,B,". . . . . . . . . . . . . . . . . . .
. . . . . . . . . . . . . . . . 2 . .
. . 2 . 2 . . . . . . . . 1 2 . 1 . .
. 1 . 2 . . . . . . . . 2 2 2 1 2 . .
. . 2 . 2 . . . . . . 2 2 1 1 1 1 . .
. 1 1 . 1 2 2 . . . 1 2 1 . . . 2 . .
. . . . 1 1 . 2 2 2 2 1 1 . 2 . . . .
. . . . . . . . 1 1 1 1 . . 2 1 . . .
. . 1 . . 2 1 . . . . 2 1 . 2 1 . . .
. . 1 2 . 1 2 . 1 1 2 . 1 . . 1 . . .
. . 1 2 . 2 1 2 1 2 1 1 2 . 1 . . . .
. . 1 2 . . 1 1 2 2 2 . 2 . 2 1 . . .
. . 1 2 . 1 . . . . . 2 . 1 2 . 1 . .
. 2 2 2 . 1 2 2 . 2 . 2 1 1 2 . 2 1 .
2 1 1 2 . 1 2 . . 2 1 1 2 2 1 . . 1 .
1 1 . 2 . . 1 2 2 1 1 . . 1 1 1 1 2 .
. . 1 2 2 1 . 2 . . . . . 1 2 . 2 2 .
. 1 1 1 2 1 1 2 . . . . . 2 2 . . . .
. . . 2 . . . . . . . . . . . . . . ."
41216,武宫正树,高尾绅路,B+3.5,B,". . . . . . . . . . . . . 2 . 2 . . .
. . . 2 . . . . . . . . 2 . 2 . 2 . .
. . . . . 1 . 1 1 . . 1 . 2 1 2 2 . .
. . . 2 . . . 2 2 1 1 . 1 2 1 1 1 . .
. . . 2 . 1 . . . 1 2 2 2 1 . . . . .
. . 2 1 . . 1 1 2 1 1 2 . 1 . . . . .
. . 2 1 2 1 1 1 1 2 . 2 1 . . . . . .
. . 1 1 . 2 1 2 2 . . 2 2 1 . . . . .
. . . . 2 . 2 . . 2 . 2 1 1 . . 1 1 .
. . . 1 1 2 2 1 1 2 . 2 . . . 1 2 . .
. . . . . . . . . 2 1 2 1 1 . . 2 . 1
. . 1 . . . 1 . 1 1 2 . 1 2 . 2 2 2 2
. 2 1 . . . . . . . . 2 2 1 1 2 1 1 .
. 2 1 . . . . 2 1 . . . . 2 1 1 2 . 2
. . 2 1 . 1 . 2 2 1 . 1 2 . . 1 2 2 .
. . 2 . 2 . . . . 1 . 1 2 . . 1 1 2 2
. . . 2 . . . 2 1 . . . 2 . 1 . . 1 1
. . . . . . . 2 1 2 . . . . . . 1 2 .
. . . . . . . . . . . . . . . . . . ."
41235,堀本满成,武宫正树,W+7.5,W,". . . . . . . . . . . . . . . . . . .
. . . . . . . . . . 1 1 1 . . . . . .
. . . 2 . 1 . 2 . 1 . 2 2 1 . . . . .
. . . 2 . 2 2 2 1 . 2 . . 2 1 1 1 . .
. . . . . . 1 1 1 . 2 1 . 2 . . . 2 .
. . 2 . . . . . . . 2 2 1 2 2 . 2 1 .
. . . . . . . . . . 2 . 2 1 . 2 . . .
. . . . . . . . . . 2 2 2 1 1 1 1 1 .
. 2 . . 2 . . . . 1 2 1 1 2 2 . . . 1
. . 1 1 2 . . . 1 . 1 2 1 . . 2 2 . .
. . . 2 1 2 . 2 1 . 1 2 2 1 . 2 1 . .
. . . . 1 . 2 2 2 1 . 1 2 2 . 2 2 1 .
. . 1 1 1 2 1 2 1 1 . 1 1 2 . 2 1 1 .
. . . 2 . 2 . . 2 1 1 2 2 1 . 2 2 1 .
. 1 . . . . . . . 2 . 2 . 1 . 2 1 . .
. . 2 2 . 2 2 2 2 2 . 2 . 1 2 . 1 . .
. . 2 1 1 1 1 1 2 1 1 1 . 1 2 1 . . .
. . . . . . . . 1 2 1 . . . 1 2 1 . .
. . . . . . . . . . . . . . . . . . ."
41514,依田纪基,武宫正树,B+3.5,B,". . . . . . . . . . . . . . . . . . .
. . 2 . 2 1 1 . . . . . . . . . . . .
. 2 . . . 2 . 1 . . . . . . . . . . .
. 1 2 2 2 . 1 . . 1 . . . 1 . 1 . 1 1
. 1 1 1 1 . 1 2 2 . 1 1 . 1 . . 1 1 2
. . . . 2 1 2 1 . 2 1 2 2 1 2 2 2 2 2
. 1 . 2 . 2 2 . . 2 2 1 2 1 1 2 . . .
. . 2 . 2 . . . . . . . 2 2 2 2 . . .
. 2 . . . . . . . . 1 . 2 1 1 1 2 2 .
. 1 2 . 2 . . . . . . 2 1 . 1 . 1 . .
. . . . . . . . . . . 2 1 1 1 . 1 1 .
. . . . . . . . . . 1 2 2 . 1 2 2 2 1
. . . . . . . . . 2 2 2 1 1 . 2 1 1 .
. . . . . . . . . 2 . 2 1 1 2 . 2 1 .
2 2 2 . . . . . 2 1 . 1 2 2 1 . 2 . .
. 1 1 2 2 . 2 2 1 1 . 1 . 1 1 2 . 2 .
. 1 . 1 . 2 . 1 2 . . . . . 1 1 2 2 .
1 2 1 1 . . 2 1 1 . . . . . . . 1 1 .
. . . . . . . . . . . . . . . . . . ."
